DATE;TIME;ZAT;OZNAKA;TIP_DOK;BR_DOK;POBROJ;MAG;IMEMAG;KOMINT;IMEKOM;DATUM;VALUTA;PLATENO;AZUR;NALOG;DOLGUVA;POBARUVA;FAKIZNOS;TRANSPORT;CARINA;UTOVAR;TROSOCI;NACINISPOR;TOVARLIST;VOZILO;PRIMIL;PORIZJAVA;MANIPUL;SIFCAR;IMECAR;SIFTRANS;IMETRANS;SIFSPED;IMESPED;DDV19;DDV5;DOK1;DOK2;DOK3;DOK4
19.11.2025;08:15:03;;;5;000001;;100;\OR^E;100;MAGACIN \OR^E;08.01.2025;08.01.2025;;;;;;0,00;0,00;0,00;1,000000;0,00;;;;;;0,00;0;;0;;0;;0,00;0,00;;;;
14.01.2025;08:36:58;;;2;000001;;100;\OR^E;1265;ORION KOMERC;08.01.2025;15.01.2025;;;;69246,00;;65949,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;3297,00;;;;
14.01.2025;08:39:55;;;2;000002;GIGO TREJD-4 radi[ani (toploteka);100;\OR^E;2008;GIGO-TREJD;08.01.2025;15.01.2025;;;;10473,50;;9975,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;498,50;;;;
14.01.2025;08:40:04;;;2;000003;GIGO TREJD-4 radi[ani;100;\OR^E;2008;GIGO-TREJD;08.01.2025;15.01.2025;;;;8678,00;;8265,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;413,00;;;;
14.01.2025;08:40:51;;;2;000004;SUPER TINEKS-11 lisa;100;\OR^E;1201;TINEKS MT;09.01.2025;09.04.2025;;;;7686,00;;7320,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;366,00;;;;
14.01.2025;08:42:19;;;2;000005;podr.ramstore vardar;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;08.01.2025;09.03.2025;;;;4441,50;;4230,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;211,50;;;;
25.06.2025;12:50:00;;;2;000006;VERO-9 n.banka Full plate;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;08.01.2025;09.03.2025;;;;12478,00;;11884,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;594,00;;;;
14.01.2025;08:46:01;;;2;000007;VERO-8 ^air;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;09.01.2025;10.03.2025;;;;2278,50;;2170,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;108,50;;;;
14.01.2025;08:46:40;;;2;000008;;100;\OR^E;877;INTEGRAL DOOEL;09.01.2025;24.01.2025;;;;12316,50;;11729,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;587,00;;;;
14.01.2025;08:48:04;;;2;000009;leptokarija;100;\OR^E;1168;TP SENDVI^ARA 7;08.01.2025;15.01.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
14.01.2025;08:48:38;;;2;000010;GIGO TREJD-2 gor^e;100;\OR^E;2008;GIGO-TREJD;08.01.2025;15.01.2025;;;;10283,00;;9793,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;490,00;;;;
14.01.2025;08:52:52;;;2;000011;REPTIL-10 butel;100;\OR^E;1225;REPTIL DPTU;09.01.2025;08.02.2025;;;;2373,00;;2260,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;113,00;;;;
14.01.2025;08:54:00;;;2;000012;REPTIL-17 kozle;100;\OR^E;1225;REPTIL DPTU;09.01.2025;08.02.2025;;;;8451,00;;8048,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;402,50;;;;
14.01.2025;08:55:21;;;2;000013;ambasada;100;\OR^E;1168;TP SENDVI^ARA 7;09.01.2025;16.01.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
14.01.2025;08:56:03;;;2;000014;;100;\OR^E;165;MRE@A DOO;09.01.2025;16.01.2025;;;;63774,50;;60737,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;3037,00;;;;
14.01.2025;08:58:05;;;2;000015;VERO-2 taftalixe;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;09.01.2025;10.03.2025;;;;15698,00;;14950,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;747,50;;;;
14.01.2025;09:15:52;;;2;000016;TINEKS piom;100;\OR^E;1201;TINEKS MT;09.01.2025;09.04.2025;;;;7287,50;;6940,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;347,00;;;;
14.01.2025;09:17:40;;;2;000017;aerodrom;100;\OR^E;1168;TP SENDVI^ARA 7;09.01.2025;16.01.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
14.01.2025;09:18:24;;;2;000018;SUPER TINEKS-15 maj^in dom;100;\OR^E;1201;TINEKS MT;13.01.2025;13.04.2025;;;;5712,50;;5440,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;272,00;;;;
14.01.2025;09:19:27;;;2;000019;TINEKS karpo[-3;100;\OR^E;1201;TINEKS MT;13.01.2025;13.04.2025;;;;1586,00;;1510,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;75,50;;;;
14.01.2025;09:20:36;;;2;000020;TINEKS delikatesen (buWakovec);100;\OR^E;1201;TINEKS MT;13.01.2025;13.04.2025;;;;4126,50;;3930,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;196,50;;;;
14.01.2025;09:22:09;;;2;000021;podr.ramstore city moll;100;\OR^E;971;RAMSTORE MAKEDONIJA DOO SKOPJE;13.01.2025;14.03.2025;;;;4793,50;;4565,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;228,50;;;;
14.01.2025;09:23:08;;;2;000022;VERO-10 k.voda;100;\OR^E;1050;VEROPULOS DOOEL SKOPJE;13.01.2025;14.03.2025;;;;4735,50;;4510,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;225,50;;;;
14.01.2025;09:24:42;;;2;000023;GIGO TREJD-1 maxari;100;\OR^E;2008;GIGO-TREJD;13.01.2025;20.01.2025;;;;5147,50;;4902,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;245,50;;;;
14.01.2025;09:25:35;;;2;000024;makpetrol;100;\OR^E;1168;TP SENDVI^ARA 7;10.01.2025;17.01.2025;;;;8798,00;;8379,00;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;419,00;;;;
14.01.2025;09:26:03;;;2;000025;;100;\OR^E;866;BTA MAKEDONIJA DOOEL;10.01.2025;09.02.2025;;;;11901,00;;11334,50;0,00;0,00;0,000000;0,00;D;;;;;0,00;0;;0;;0;;0,00;566,50;;;;
